"key","AIContextualSummary","AffiliateLink","AnnualFee","CardTier","FullName","Issuer","Perks","RewardsRate","SpecialOffers","UpdatedAt"
"","カード名: アメリカン・エキスプレス・プラチナ・カード(R)
                    年会費: 165,000円
                    ポイント還元率: 0.5%～3.0%
                    特徴: カード更新時にホテル無料宿泊券（1泊2名分）プレゼント、センチュリオン・ラウンジなどトラベルサービスが充実、独自の補償（プロテクション）が充実、プラチナ・コンシェルジェ・デスクでホテルやレストランの予約も可能、家族カードは4枚まで無料","","165,000円","Platinum","アメリカン・エキスプレス・プラチナ・カード(R)","","高級ホテルの上級会員サービスが受けられるハイスペックなカードです。","0.5%～3.0%","最大75,000円相当プレゼント","2025-10-01T14:04:43.469554"
"","カード名: 三井住友ビジネスプラチナカード for Owners
                    年会費: 55,000円
                    ポイント還元率: 1.0%～7.0%
                    特徴: 個人カードに近く、分割払いなどの支払方法を選択できる、毎年7,000円程度の商品から選べる「メンバーズセレクション」が送られてくる、対象のコンビニ・飲食店でスマホのタッチ決済を利用すると最大7％還元、宝塚の三井住友カード貸切公演でSS席の抽選申し込みに参加可能、国際線空港ラウンジを利用できる「プライオリティ・パス」を利用できる","","55,000円","Platinum","三井住友ビジネスプラチナカード for Owners","","支払い方法が自由に選べる、三井住友カードのビジネスプラチナカードです。","1.0%～7.0%","最大65,000円相当プレゼント","2025-10-01T14:04:43.470071"
"","カード名: 楽天ブラックカード
                    年会費: 33,000円
                    ポイント還元率: 1.0%～3.0%
                    特徴: 楽天証券や楽天市場など楽天グループの利用でポイントアップ、年会費無料で「プライオリティ・パス」に登録可能、最高1億円の海外旅行傷害保険が自動付帯","","33,000円","Platinum","楽天ブラックカード","","最高1億円の旅行傷害保険やコンシェルジュサービスが付帯したカードです。","1.0%～3.0%","","2025-10-01T14:04:43.470589"
"","カード名: エポスプラチナカード
                    年会費: 30,000円
                    ポイント還元率: 0.5%～1.25%
                    特徴: 年間の利用金額に応じて貯まるボーナスポイント、プラチナ限定。誕生月はボーナスポイントが2倍、ずっと使える貯められる。期限なしの永久ポイント","","30,000円","Platinum","エポスプラチナカード","","年間100万円以上利用すると、年会費が実質無料になるプラチナカードです。","0.5%～1.25%","","2025-10-01T14:04:43.471079"
"","カード名: JCB ザ・クラス
                    年会費: 55,000円
                    ポイント還元率: 0.5%～10.0%
                    特徴: 手厚い補償が受けられる旅行保険やサービスが付帯、ザ・クラス会員の特典が充実、海外利用でポイントが2倍になるOki Dokiポイントが貯まる","","55,000円","Platinum","JCB ザ・クラス","","JCB最高級のサービスと手厚いサポートが受けられるインビテーション制カードです。","0.5%～10.0%","","2025-10-01T14:04:43.471562"
"","カード名: TRUST CLUB プラチナ Visaカード
                    年会費: 38,500円
                    ポイント還元率: 1.0%
                    特徴: プラチナ専用のコンシェルジュデスクは24時間年中無休で対応、世界の空港ラウンジが利用できる「プライオリティ・パス」が回数制限なしで利用可能、キャンセルプロテクションは飛行機や旅行のキャンセル費用も対象、ショッピング利用で100円につき4ポイント貯まる（1.0%還元）、年間利用額に応じてボーナスポイントが加算","","38,500円","Platinum","TRUST CLUB プラチナ Visaカード","","プライオリティ・パスが申込みでき、様々な付帯保険がついたプラチナカードです。","1.0%","","2025-10-01T14:04:46.965495"
"","カード名: JCBプラチナ法人カード
                    年会費: 33,000円
                    ポイント還元率: 0.45%～9.9%
                    特徴: 世界を飛び回るビジネスパーソン向けの上位カード、プラチナ・コンシェルジュデスクは24時間365日対応、プライオリティ・パスで世界の空港ラウンジが利用可能、資金管理・改善ポータル「Cashmap」が無料で利用可能","","33,000円","Platinum","JCBプラチナ法人カード","","プラチナだけの特別なサービスが受けられるJCB法人カードです。","0.45%～9.9%","最大125,000円相当プレゼント","2025-10-01T14:04:46.966646"
"","カード名: ANA VISA プラチナプレミアムカード
                    年会費: 88,000円
                    ポイント還元率: 0.5%～3.0%
                    特徴: 入会と継続でボーナスマイル付与、ANAグループ利用でボーナスマイル付与、ANA航空券を購入するとマイルが2倍貯まる","","88,000円","Platinum","ANA VISA プラチナプレミアムカード","","最高1億円の旅行保険が自動付帯でマイルが貯まりやすいANAプラチナカードです。","0.5%～3.0%","","2025-10-01T14:04:46.967550"
"","カード名: TRUST CLUB ワールドエリートカード
                    年会費: 143,000円
                    ポイント還元率: 1.0%～1.25%
                    特徴: Mastercard(R)の最上位カード、旅行傷害保険は最高1億円までの高額補償、ホテルやレストランの優待サービス「Taste of Premium(R)」特典がすべて利用可能、事故やゴルフ用品を補償する「ゴルファー保険」が自動付帯、ポイントは100円につき4ポイント付与され、有効期限なし、「ダイナースクラブプレミアムカード」ユーザーは、本カードが無料付帯","","143,000円","Platinum","TRUST CLUB ワールドエリートカード","","最高1億円の旅行保険が付帯されている、Mastercard(R)最上位カードです。","1.0%～1.25%","","2025-10-01T14:04:46.968471"
"","カード名: アメリカン・エキスプレス(R)・ビジネス・プラチナ・カード
                    年会費: 165,000円
                    ポイント還元率: 0.5%～3.0%
                    特徴: 基本カードはメタル製のカードでステータス感も抜群、セカンド・ビジネス・プラチナ・カードを発行すると、金属製のカードが利用できない決済端末でも利用可能、特典は基本カード会員とほぼ同じ、毎年送られるフリー・ステイ・ギフトで対象のホテル宿泊が1泊無料能、Marriott Bonvoy(R)やヒルトン・オナーズなどの上級会員に無料登録可能","","165,000円","Platinum","アメリカン・エキスプレス(R)・ビジネス・プラチナ・カード","","様々なケアが用意されたアメックスのビジネスプラチナカードです。","0.5%～3.0%","最大66,000円相当プレゼント","2025-10-01T14:04:46.969359"
"","カード名: 九州カード VISAプラチナカード
                    年会費: 55,000円
                    ポイント還元率: 1.0%
                    特徴: VISAベストカードデザイン賞受賞、コンシェルジュデスクでトラベルサポート、国内・海外最高1億円の保険が自動付帯、プライオリティパス無料付帯で海外のラウンジ利用可能、グルメ割引などお得な特典つき","","55,000円","Platinum","九州カード VISAプラチナカード","","クオリティの高いサービスが受けられる九州カードオリジナルのプラチナカードです。","1.0%","","2025-10-01T14:04:46.970219"
"","カード名: ANAアメリカン・エキスプレス(R)・プレミアム・カード
                    年会費: 165,000円
                    ポイント還元率: 1.0%～2.5%
                    特徴: ポイントは無期限、ためたポイントをいつでもANAのマイルに上限なしで交換可能、搭乗ボーナスは50％UP、カード継続毎に10,000ボーナスマイルとマイルもたまりやすい、ANA国内線では、空港ラウンジを無料で利用可能、ANA国際線では、エコノミークラス利用でも比較的空いているビジネスクラス専用カウンターを利用可能、プライオリティ・パスで海外空港のラウンジも利用でき、同伴者1名まで無料利用可","","165,000円","Platinum","ANAアメリカン・エキスプレス(R)・プレミアム・カード","","ANAグループの利用でポイントが2.5倍貯まるアメックスのプレミアムカードです。","1.0%～2.5%","最大130,000円相当プレゼント","2025-10-01T14:04:46.970964"
"","カード名: デルタ スカイマイル TRUST CLUB プラチナVISAカード
                    年会費: 44,000円
                    ポイント還元率: 1.5%
                    特徴: フライト、ショッピングで100円につき1.5マイルが貯まる、入会後6ヶ月で、ファーストフライトボーナスマイル最大25,000マイルがもらえる、年間計6回まで「デルタ スカイクラブ」ラウンジが無料で利用可能、対象レストランで所定のコースが2名以上の予約で1名分が無料、カードで購入した商品は年間500万円まで補償","","44,000円","Platinum","デルタ スカイマイル TRUST CLUB プラチナVISAカード","","貯まるマイルは無期限、最高1億円の旅行保険が付帯されているカードです。","1.5%","","2025-10-01T14:04:46.971782"
"","カード名: ジャックスカードプラチナ
                    年会費: 22,000円
                    ポイント還元率: 1.0%
                    特徴: 年間合計利用金額に応じてポイントが貯まりやすい、24時間対応のコンシェルジュサービスが利用可能、空港ラウンジサービスが利用可能","","22,000円","Platinum","ジャックスカードプラチナ","","コンシェルジュサービスなどが利用できる、ジャックスカードのプラチナカードです。","1.0%","","2025-10-01T14:04:46.972629"
"","カード名: キャセイパシフィック MUFGカード・プラチナ・アメリカン・エキスプレス(R)・カード
                    年会費: 27,500円
                    ポイント還元率: 0.5%～7.0%
                    特徴: アジア・マイルが貯まる、ワンランク上の優待プログラム、マルコポーロクラブグリーン会員料が無料","","27,500円","Platinum","キャセイパシフィック MUFGカード・プラチナ・アメリカン・エキスプレス(R)・カード","","キャセイパシフィックと三菱UFJニコス提携のプラチナカードです。","0.5%～7.0%","","2025-10-01T14:04:46.973370"
"","カード名: ANAダイナース スーパーフライヤーズ プレミアムカード
                    年会費: 170,500円
                    ポイント還元率: 0.6%～3.0%
                    特徴: 入会・継続でボーナスマイルプレゼント、ANAグループでのカード決済でマイルが2倍、カード利用でマイルに移行可能なポイントが貯まる","","170,500円","Platinum","ANAダイナース スーパーフライヤーズ プレミアムカード","","優待プログラムが充実、マイルも貯まりやすいプレミアムカードです。","0.6%～3.0%","","2025-10-01T14:04:46.974209"
"","カード名: 三井住友ビジネスカード（プラチナ）
                    年会費: 55,000円
                    ポイント還元率: 0.8%～0.97%
                    特徴: コンシェルジュデスク活用で出張などをお任せ手配、海外空港ラウンジの利用できる「プライオリティ・パス」が自動付帯、2名以上のコース料理を利用すると1名分が無料となる「プラチナグルメクーポン」で接待などもおトクに、通常体験できない会員限定のイベントに参加できる　経営者同士のコミュニティとして利用可能","","55,000円","Platinum","三井住友ビジネスカード（プラチナ）","","ビジネスカードにプラチナの価値をプラスした三井住友カードです。","0.8%～0.97%","最大52,000円相当プレゼント","2025-10-01T14:04:46.975140"
"","カード名: JAL アメリカン・エキスプレス(R)・カード プラチナ
                    年会費: 34,100円
                    ポイント還元率: 1.0%～2.0%
                    特徴: 魅力的なプラチナカード限定サービス、中国を中心に、全世界の加盟店で利用できる銀聯カード発行、空港ラウンジサービスが利用できます","","34,100円","Platinum","JAL アメリカン・エキスプレス(R)・カード プラチナ","","世界のラウンジが無料で利用できる、JALプラチナカードです。","1.0%～2.0%","","2025-10-01T14:04:46.976020"
"","カード名: 三井住友カード Visa Infinite
                    年会費: 99,000円
                    ポイント還元率: 1.0%～7.0%
                    特徴:","","99,000円","Platinum","三井住友カード Visa Infinite","","利得性と独自の体験価値を兼ね備えた、Visa最上位ランクの三井住友カードです。","1.0%～7.0%","最大100,000円相当プレゼント","2025-10-01T14:04:46.976895"
"","カード名: Orico Card THE PLATINUM
                    年会費: 20,370円
                    ポイント還元率: 1.0%～2.5%
                    特徴: ポイント還元率が常に1.0％以上、5つの特別加算ポイント、コンシェルジュサービスが付帯","","20,370円","Platinum","Orico Card THE PLATINUM","","ポイント還元率1.0％以上、還元率の高いオリコのプラチナカードです。","1.0%～2.5%","","2025-10-01T14:04:46.977782"
"","カード名: ANA VISA プラチナ スーパーフライヤーズ プレミアムカード
                    年会費: 88,000円
                    ポイント還元率: 0.5%～3.0%
                    特徴: 継続と搭乗でボーナスマイルがもらえる、最高1億円の旅行傷害保険が自動付帯、ANAマイレージクラブ・スーパーフライヤーズ会員特典","","88,000円","Platinum","ANA VISA プラチナ スーパーフライヤーズ プレミアムカード","","プラチナカードならではの上質な特典が充実、マイルも溜まりやすいカードです。","0.5%～3.0%","","2025-10-01T14:04:46.978629"
"","カード名: みずほセゾンプラチナ・アメリカン・エキスプレス(R)・カード
                    年会費: 22,000円
                    ポイント還元率: 1.0%
                    特徴:","","22,000円","Platinum","みずほセゾンプラチナ・アメリカン・エキスプレス(R)・カード","","2023年8月31日に新規のお申し込み受付を終了したカードです。","1.0%","","2025-10-01T14:04:46.979422"
"","カード名: アパステイヤーズクラブカード プラチナ
                    年会費: 20,000円
                    ポイント還元率: 0.5%～1.25%
                    特徴: アパポイントは最大15％のポイント還元、年間ボーナスポイントが最大10万ポイント、最高1億円補償の海外旅行傷害保険、プライオリティ・パスが付帯","","20,000円","Platinum","アパステイヤーズクラブカード プラチナ","","アパホテルズ＆リゾーツで利用できる特典が豊富な、完全招待制のカードです。","0.5%～1.25%","","2025-10-01T14:04:46.980203"
"","カード名: ダイナースクラブ プレミアムカード
                    年会費: 143,000円
                    ポイント還元率: 0.5%～1.0%
                    特徴: 「TRUST CLUB ワールドエリートカード」を無料発行、最高1億円の旅行傷害保険が付帯、国内外1,000ヵ所以上の空港ラウンジ無料","","143,000円","Platinum","ダイナースクラブ プレミアムカード","","プラチナならではのサービスとステータスを兼ね備えた招待制のダイナースカードです。","0.5%～1.0%","","2025-10-01T14:04:46.980983"
"","カード名: ANA JCBカード プレミアム
                    年会費: 77,000円
                    ポイント還元率: 1.0%～3.0%
                    特徴: ANAカードの最上位カードとしては年会費が安い、ショッピングマイルの還元率は1.3％、国内ラウンジはANAラウンジを利用でき、海外ラウンジはプライオリティ・パスの利用が可能、プラチナ・コンシェルジュデスクを24時間365日利用できる、プレミアム限定のダースベーダーデザインも選択可","","77,000円","Platinum","ANA JCBカード プレミアム","","最高1億円の旅行保険が自動付帯でマイルが貯まりやすいANAプラチナカードです。","1.0%～3.0%","","2025-10-01T14:04:46.981758"
"","カード名: レクサスカード
                    年会費: 22,000円
                    ポイント還元率: 1.0%～4.5%
                    特徴: ENEOSでの給油割引サービス、空港ラウンジを無料で利用可能、国内・海外旅行傷害保険やショッピング補償保険が標準付帯","","22,000円","Platinum","レクサスカード","","レクサスオーナー限定のプラチナカードです。","1.0%～4.5%","","2025-10-01T14:04:50.412654"
"","カード名: Mastercard(R) Titanium Card
                    年会費: 55,000円（初年度27,500円）
                    ポイント還元率: 1.0%～6.6%
                    特徴: ブラッシュド加工金属製カード、還元率1％キャッシュバック、時間や場所を問わず利用可能なコンシェルジュサービス","","55,000円（初年度27,500円）","Platinum","Mastercard(R) Titanium Card","","インビテーションなしでも申込みができる、ハイステータスカードです。","1.0%～6.6%","","2025-10-01T14:04:50.413653"
"","カード名: ミライノ カード PLATINUM
                    年会費: 27,500円
                    ポイント還元率: 1.2%
                    特徴:","","27,500円","Platinum","ミライノ カード PLATINUM","","2023年11月30日に新規のお申し込み受付を終了したカードです。","1.2%","","2025-10-01T14:04:50.414239"
"","カード名: ANAダイナース スーパーフライヤーズカード
                    年会費: 30,800円
                    ポイント還元率: 0.4%～1.0%
                    特徴: 継続と搭乗でボーナスマイルがもらえる、貯めたポイントをANAマイルに交換できる、最高1億円の旅行傷害保険が付帯","","30,800円","Platinum","ANAダイナース スーパーフライヤーズカード","","ANAマイルとリワードポイントが貯まりやすいダイナースクラブカードです。","0.4%～1.0%","","2025-10-01T14:04:50.414821"
"","カード名: JAL Luxury Card
                    年会費: 242,000円
                    ポイント還元率: 1.2%～1.44%
                    特徴: 「JMBクリスタル」ステイタスが自動付帯、最上位ならではの優待サービスが充実、JALマイルが貯まる","","242,000円","Platinum","JAL Luxury Card","","「JMB クリスタル」ステイタスが自動付帯したJAL最上位ランクのカードです。","1.2%～1.44%","","2025-10-01T14:04:50.415546"
"","カード名: 東武カードVIP
                    年会費: 33,000円
                    ポイント還元率: 1.5%～10.0%
                    特徴: ポイント還元率がアップした完全招待制のプラチナカード、プラチナならではのサービス、タッチ決済に対応","","33,000円","Platinum","東武カードVIP","","基本還元率1.5%、東武百貨店で最大10％ポイントが貯まる招待制のカードです。","1.5%～10.0%","","2025-10-01T14:04:50.416140"
"","カード名: ANA JCBスーパーフライヤーズカード プレミアム
                    年会費: 77,000円
                    ポイント還元率: 1.0%～3.0%
                    特徴: ボーナスマイルがもらえる、Oki Dokiポイントとマイルが2倍たまる、国内外の空港ラウンジサービスが利用可能","","77,000円","Platinum","ANA JCBスーパーフライヤーズカード プレミアム","","ANAとJCBのハイクオリティなサービスが受けられるプレミアムカードです。","1.0%～3.0%","","2025-10-01T14:04:50.416707"
"","カード名: 三井住友トラストVISAプラチナカード
                    年会費: 38,500円
                    ポイント還元率: 1.0%
                    特徴: 最高1億円補償の旅行付帯保険が付帯、最高500万円補償のお買物安心保険が付帯、様々なサービスが利用可能","","38,500円","Platinum","三井住友トラストVISAプラチナカード","","最高1億円の旅行傷害保険が付いた三井住友トラスト・カードのプラチナカードです。","1.0%","","2025-10-01T14:04:50.417230"
"","カード名: Miles & More MUFGカード・プラチナ・アメリカン・エキスプレス(R)・カード
                    年会費: 30,800円
                    ポイント還元率: -
                    特徴: プラチナ会員だけの充実したサービス、国内外の空港ラウンジサービスが受けられる、手厚い補償が受けられる国内外の保険","","30,800円","Platinum","Miles & More MUFGカード・プラチナ・アメリカン・エキスプレス(R)・カード","","国内外の保険が充実したマイルも貯まりやすいプラチナカードです。","-","","2025-10-01T14:04:50.417746"
"","カード名: JAL・JCBカード プラチナ Pro
                    年会費: 77,000円
                    ポイント還元率: 1.0%～2.4%
                    特徴: ２種類の限定ボーナスマイルが貯まる、ショッピング利用でマイルが2倍貯まる、プラチナ会員向けの優待が充実","","77,000円","Platinum","JAL・JCBカード プラチナ Pro","","現行のJALカード プラチナの機能にオリジナルサービスが付帯したカードです。","1.0%～2.4%","","2025-10-01T14:04:50.418266"
"","カード名: bitFlyer Platinum Card（ビットフライヤー プラチナカード）
                    年会費: 16,500円（初年度無料）
                    ポイント還元率: 1.0%
                    特徴: 自動的に「ビットコイン」へ交換される、最高3,000万円の旅行傷害保険が利用付帯、条件クリアで翌年度年会費無料","","16,500円（初年度無料）","Platinum","bitFlyer Platinum Card（ビットフライヤー プラチナカード）","","「ビットコイン」が貯まり、プラチナならではのサービスが付帯したカードです。","1.0%","","2025-10-01T14:04:50.418795"
"","カード名: PRESTIA Visa PLATINUM CARD
                    年会費: 38,500円（初年度無料）
                    ポイント還元率: 1.0%
                    特徴: ワンランク上のプラチナ会員特典、口座維持手数料が無料、取引額に応じてVポイントが貯まる","","38,500円（初年度無料）","Platinum","PRESTIA Visa PLATINUM CARD","","SMBC信託銀行のプレスティアゴールド会員以上向けのプラチナカードです。","1.0%","","2025-10-01T14:04:50.419488"
"","カード名: JAL Luxury Card Limited
                    年会費: 599,500円
                    ポイント還元率: 1.5%～1.8%
                    特徴: JALのサービスステイタス「JMBサファイア」が自動付帯、JALマイルの基本還元率が1.5%、JALブランドを象徴するカードフェイス","","599,500円","Platinum","JAL Luxury Card Limited","","「JMBサファイア」ステイタスが付帯した招待制のJALカードです。","1.5%～1.8%","","2025-10-01T14:04:50.420057"
