"key","AIContextualSummary","AffiliateLink","AnnualFee","CardTier","FullName","Issuer","Perks","RewardsRate","SpecialOffers","UpdatedAt"
"","カード名: 三菱UFJカード ゴールドプレステージ
                    年会費: 11,000円（初年度無料）
                    ポイント還元率: 0.5%～5.5%
                    特徴: セブン-イレブン、ローソン、ピザハット、松屋、コカ・コーラ自販機で5.5%還元、空港ラウンジなどトラベルサービス利用可能、レストランで所定コースメニュー2名以上の利用で1名分無料に、グローバルPlusで利用に応じたポイント優遇あり、年間100万円以上の利用で11,000円相当のボーナスポイントを付与","","11,000円（初年度無料）","Gold","三菱UFJカード ゴールドプレステージ","","初年度年会費無料で多彩な優遇が受けられるゴールドカードです。","0.5%～5.5%","最大12,000円相当プレゼント","2025-05-02T08:00:56.246010"
"","カード名: au PAY ゴールドカード
                    年会費: 11,000円
                    ポイント還元率: 1.0%～1.5%
                    特徴: au携帯電話の利用料金で最大10％還元、au PAY残高へのオートチャージで最大5％還元、au PAY利用で＋0.5％の合計最大5.5％還元、auマネ活プランの場合はクレカ決済で＋0.5％の合計1.5％還元、一流ホテル・旅館予約サービスReluxで初回1万円オフ、2回目以降10％オフ、国内の主要空港ラウンジを利用できる","","11,000円","Gold","au PAY ゴールドカード","","au携帯電話利用料の最大10%をポイント還元されるカードです。","1.0%～1.5%","最大20,000円相当プレゼント","2025-05-02T08:00:56.246507"
"","カード名: JCB Biz ONE ゴールド
                    年会費: 5,500円（初年度無料）
                    ポイント還元率: 1.0%～10.5%
                    特徴: ポイント2倍、ゴールドカードとしては年会費が安く、年間100万円利用で次年度の年会費が無料、オリジナルシリーズパートナーのAmazonを登録するとAmazon利用がポイント4倍、スマホの画面割れの修理などに使えるJCBスマートフォン保険利用付帯","","5,500円（初年度無料）","Gold","JCB Biz ONE ゴールド","","
初年度年会費無料、ポイントが常時2倍貯まる法人ゴールドカードです。","1.0%～10.5%","最大51,000円相当プレゼント","2025-05-02T08:00:56.247071"
"","カード名: apollostation THE GOLD
                    年会費: 11,000円
                    ポイント還元率: 1.0%
                    特徴: 月間のショッピング利用額に応じ、apollostationで最大10円／リットルの値引、出光スーパーロードサービスが自動付帯、バッテリー上がりなども無料対応、出光ハウスサービスで、自宅の水回りトラブルなど車以外のサービスも充実、年間200万円以上の利用で次年度の年会費が無料に、ゴールドカードとしての旅行保険充実や空港ラウンジの利用も可","","11,000円","Gold","apollostation THE GOLD","","ガソリンの値引やロードサービスが無料自動付帯のお得なゴールドカードです。","1.0%","","2025-05-02T08:00:56.247622"
"","カード名: Oliveフレキシブルペイ ゴールド
                    年会費: 5,500円
                    ポイント還元率: 0.5%～7.0%
                    特徴: 年間100万円以上の利用で翌年度以降の年会費が無料のゴールドカード、対象のコンビニ・飲食店でスマホのタッチ決済を利用すると最大7％還元、年間100万円利用で1万円相当のVポイント獲得可能、年会費無料時でも国内線の空港ラウンジを利用できる","","5,500円","Gold","Oliveフレキシブルペイ ゴールド","","キャッシュ機能のほかデビットやポイント払い機能が付いたゴールドカードです。","0.5%～7.0%","","2025-05-02T08:00:56.248165"
"","カード名: dカード GOLD U
                    年会費: 3,300円
                    ポイント還元率: 1.0%～4.5%
                    特徴: 条件付きで年会費が実質無料　通常でも3,300円（税込）、対象のドコモ利用料金の5％をdポイントで還元、ahamoの場合は＋5GBのボーナスパケット、盗難・修理不能などでもケータイ補償で最大10万円の補償、国内・ハワイの主要空港でラウンジ利用可","","3,300円","Gold","dカード GOLD U","","29歳以下限定、条件達成で年会費が実質無料になるゴールドカードです。","1.0%～4.5%","最大19,000円相当プレゼント,さらに1,000円相当プレゼント","2025-05-02T08:00:56.248716"
"","カード名: ANAアメリカン・エキスプレス(R)・ゴールド・カード
                    年会費: 34,100円
                    ポイント還元率: 1.0%～2.0%
                    特徴: 無期限ポイントで必要な時にANAのマイルに交換できる、ポイントからマイルへの年間移行上限がない、カード継続でボーナスマイル、毎年300万円以上の利用でANA SKYコインを獲得可能、購入後36ヶ月以内の保険対象となるスマホであれば、年間3万円限度に修理代金補償","","34,100円","Gold","ANAアメリカン・エキスプレス(R)・ゴールド・カード","","ANAマイルが貯まりやすい、アメックスのゴールドカードです。","1.0%～2.0%","最大20,400円相当プレゼント","2025-05-02T08:00:56.249208"
"","カード名: セゾンゴールド・アメリカン・エキスプレス(R)・カード
                    年会費: 11,000円（初年度無料）
                    ポイント還元率: 0.75%～1.0%
                    特徴: ポイントの有効期限がない「永久不滅ポイント」、JAL・ANAマイルへの交換が可能、旅先から国内での買物の保障を強力にサポート","","11,000円（初年度無料）","Gold","セゾンゴールド・アメリカン・エキスプレス(R)・カード","","旅に役立つサービスが利用できるセゾンアメックスのゴールドカードです。","0.75%～1.0%","","2025-05-02T08:00:56.249685"
"","カード名: 九州カードNEXT ゴールドカード
                    年会費: 11,000円（初年度無料）
                    ポイント還元率: 1.0%～5.0%
                    特徴: 初年度無料、2年目以降も前年100万円以上の利用があれば無料、家族カードも1名まで無料、Google Pay・Apple Payに対応し、ローソン・マクドナルドでタッチ決済を利用すると最大5％還元、どこで使っても1％還元、月間利用額に応じたボーナスポイント","","11,000円（初年度無料）","Gold","九州カードNEXT ゴールドカード","","最大5%還元に加え、利用額に応じてボーナスポイントがもらえるゴールドカードです。","1.0%～5.0%","最大10,000円相当プレゼント","2025-05-02T08:00:56.250267"
"","カード名: SAISON GOLD Premium
                    年会費: 11,000円
                    ポイント還元率: 0.5%～2.5%
                    特徴: 対象のコンビニ・カフェ・マクドナルドで最大5％ポイント還元、映画を1,000円で鑑賞できる、年間100万円以上の利用で翌年以降の年会費が無料、50万円ごとに0.5％のボーナスポイントで最大還元率は1％、金属っぽい見た目でも券売機などで利用可能","","11,000円","Gold","SAISON GOLD Premium","","年間利用額に応じて特典が増えるプレミアムなゴールドカードです。","0.5%～2.5%","","2025-05-02T08:00:56.250834"
"","カード名: Marriott Bonvoy(R) アメリカン・エキスプレス(R)・プレミアム・カード
                    年会費: 49,500円
                    ポイント還元率: 1.0%～2.0%
                    特徴: Marriott Bonvoy(R)のゴールドエリート取得でレイトチェックアウトや部屋のアップグレードなどの特典を受けられる、年間150万円以上の利用で50,000ポイントまでの無料宿泊特典、年間400万円以上のカード利用でMarriott Bonvoy(R)のプラチナエリート取得可、家族カードが1枚無料、貯まったポイントは航空マイルにも効率良く交換できる","","49,500円","Gold","Marriott Bonvoy(R) アメリカン・エキスプレス(R)・プレミアム・カード","","Marriott Bonvoy(R)「ゴールドエリート」会員資格を所持できるカードです。","1.0%～2.0%","","2025-05-02T08:01:00.685254"
"","カード名: ANAダイナースカード
                    年会費: 29,700円
                    ポイント還元率: 1.0%～1.2%
                    特徴: ショッピングで貯まるポイントが無期限、必要なタイミングでANAのマイルに上限なし・手数料無料で移行可能、個人事業主・法人オーナーの場合はビジネス・アカウントカードで経費分もポイントを合算できる、通常のダイナースクラブカードの特典を利用でき、対象レストランで対象のコース料理を2名以上で予約すると1名無料","","29,700円","Gold","ANAダイナースカード","","ANAマイルが貯まり、ダイナースのサービスが利用できるカードです。","1.0%～1.2%","","2025-05-02T08:01:00.686515"
"","カード名: PayPayカード ゴールド
                    年会費: 11,000円
                    ポイント還元率: 1.5%～7.0%
                    特徴: 「PayPayポイント」が貯まる、「LYPプレミアム」の特典が利用できる、最高1億円補償の旅行傷害保険が付帯","","11,000円","Gold","PayPayカード ゴールド","","ゴールド特典が付帯し、カード利用で1.5%のポイントが貯まるカードです。","1.5%～7.0%","","2025-05-02T08:01:00.687414"
"","カード名: ANAカード（ワイドゴールドカード）
                    年会費: 15,400円
                    ポイント還元率: 0.5%～2.0%
                    特徴: ANAマイルがたまる。ボーナスマイルの特典、たまったポイントはマイルへ移行も可、旅行に役立つ優待サービスや会員割引がたくさん","","15,400円","Gold","ANAカード（ワイドゴールドカード）","","ポイントからマイルへの交換レートが高いANA VISAカードです。","0.5%～2.0%","","2025-05-02T08:01:00.688055"
"","カード名: ライフカードビジネスライトプラス（ゴールド）
                    年会費: 2,200円（初年度無料）
                    ポイント還元率: 0.5%
                    特徴: 年会費2,200円のゴールドカード　国内線の空港ラウンジも利用可能、年間200万円以上の利用でポイントが2倍に、Mastercard(R)ブランドの場合は、T&E Savingsのゴールドビジネス特典を利用可能　招待日和なども対象に、海外旅行傷害保険・国内旅行傷害保険が付帯　ライフカードのシートベルト傷害保険も自動付帯","","2,200円（初年度無料）","Gold","ライフカードビジネスライトプラス（ゴールド）","","本人確認資料のみで申し込み可能、ポイント還元も受けられるビジネスカードです。","0.5%","","2025-05-02T08:01:00.688602"
"","カード名: JCBゴールド法人カード
                    年会費: 11,000円（初年度無料）
                    ポイント還元率: 0.45%～9.9%
                    特徴: トラベル・ゴルフで優待・割引あり、国内出張が多い法人におすすめ、海外旅行傷害保険は最高1億円　※利用付帯、ショッピングカード保険は最高500万円と高水準の補償","","11,000円（初年度無料）","Gold","JCBゴールド法人カード","","JCB法人カード機能に加え、ゴールドならではのサービスが利用できるカードです。","0.45%～9.9%","最大71,000円相当プレゼント,6/30までのお申し込みで初年度年会費無料","2025-05-02T08:01:00.689343"
"","カード名: JCB GOLD EXTAGE
                    年会費: 3,300円（初年度無料）
                    ポイント還元率: 0.75%～10.25%
                    特徴: 他のJCBプロパーカードに比べてポイント還元率が高い、手頃な年会費で、ゴールド会員専用デスクと空港ラウンジサービス利用可能、最高5,000万円まで補償の旅行傷害保険ありと保険も充実、将来JCBザ・クラスを持ちたい20代におすすめできる一枚","","3,300円（初年度無料）","Gold","JCB GOLD EXTAGE","","29歳以下の方が対象の、JCBゴールドカードです。","0.75%～10.25%","","2025-05-02T08:01:00.690300"
"","カード名: Amazon MasterCardゴールド
                    年会費: 11,000円
                    ポイント還元率: 1.0%～2.5%
                    特徴:","","11,000円","Gold","Amazon MasterCardゴールド","","2021年9月15日に新規のお申込みを終了したカードです。","1.0%～2.5%","","2025-05-02T08:01:00.691138"
"","カード名: 楽天プレミアムカード
                    年会費: 11,000円
                    ポイント還元率: 1.0%～3.0%
                    特徴: 楽天市場の利用でポイント3倍、年会費無料で「プライオリティ・パス」に登録可能、「選べるサービス」では3サービスから選択","","11,000円","Gold","楽天プレミアムカード","","プライオリティパス発行料無料。楽天カードのプレミアムカードです。","1.0%～3.0%","","2025-05-02T08:01:00.691723"
"","カード名: MileagePlus MUFGカード
                    年会費: 5,500円
                    ポイント還元率: 1.0%～1.5%
                    特徴: マイレージプラスが貯まりやすい、最高3,000万円補償の国内外旅行傷害保険、トラベル時に活用できるサービスが付帯","","5,500円","Gold","MileagePlus MUFGカード","","ユナイテッド航空のマイルが100円につき1マイル貯まるゴールドカードです。","1.0%～1.5%","","2025-05-02T08:01:00.692247"
"","カード名: ダイナースクラブ ビジネスカード
                    年会費: 27,500円（初年度無料）
                    ポイント還元率: 0.4%～1.0%
                    特徴: カード利用枠に一律の制限なし、年会費無料のMastercard(R)コンパニオンカードが付帯、ダイナースクラブのビジネスラウンジ「銀座サロン」を利用できる、健康診断や税務相談ができる「ビジネス・オファー」が利用可、クラウド会計ソフト「freee会計」の初年度有料プランが2ヶ月分割引に","","27,500円（初年度無料）","Gold","ダイナースクラブ ビジネスカード","","高額決済が可能なダイナースクラブの個人事業主向けのカードです。","0.4%～1.0%","7/31までのお申し込みで初年度年会費無料","2025-05-02T08:01:00.692785"
"","カード名: イオンゴールドカードセレクト
                    年会費: 無料
                    ポイント還元率: 0.5%～1.0%
                    特徴: イオングループ対象店舗でいつでもWAON POINTいつでも2倍、お客さま感謝デーは買い物代金5％オフ、毎月10日はWAON POINT2倍","","無料","Gold","イオンゴールドカードセレクト","","通常のイオンカード機能プラスゴールドサービスが利用できるカードです。","0.5%～1.0%","","2025-05-02T08:01:00.693341"
"","カード名: 三菱UFJカード ゴールド
                    年会費: 2,095円（初年度無料）
                    ポイント還元率: 0.5%
                    特徴:","","2,095円（初年度無料）","Gold","三菱UFJカード ゴールド","","2022年3月31日に新規のお申し込み受付を終了したカードです。","0.5%","","2025-05-02T08:01:00.693882"
"","カード名: ANA JCB ワイドゴールドカード
                    年会費: 15,400円
                    ポイント還元率: 0.5%～2.0%
                    特徴: 移行手数料無料で10マイルコースを利用できる、獲得したOki Dokiポイントの有効期限が3年間に、Edyチャージでも0.5％のマイルを獲得可能、ANA Payチャージ時には0.6％のマイルを獲得できる、JCB GOLD Service Club Offへの登録で、映画館やチケットの優待特典を受けられる","","15,400円","Gold","ANA JCB ワイドゴールドカード","","ANA JCB ワイドカードの機能＋楽天Edyの利用でもマイルが貯まるカードです。","0.5%～2.0%","","2025-05-02T08:01:00.694453"
"","カード名: 楽天ゴールドカード
                    年会費: 2,200円
                    ポイント還元率: 1.0%～3.0%
                    特徴: スーパーポイントアッププログラムでポイントがさらに貯まる、空港ラウンジが無料で利用可能。海外でも使える便利なサービスが充実、貯めたポイントは楽天の各対象サービスで1ポイント1円で利用できます","","2,200円","Gold","楽天ゴールドカード","","国内主要空港に加え、ホノルル空港ラウンジが利用できるカードです。","1.0%～3.0%","","2025-05-02T08:01:00.695000"
"","カード名: TRUST CLUB エリートカード
                    年会費: 3,300円
                    ポイント還元率: 0.5%～0.75%
                    特徴: 格安ゴールドでも国内主要空港ラウンジを利用可能、家族カードやETCカードの年会費無料、8,000ポイントで年会費充当可能、Visaゴールドカード優待を利用できる","","3,300円","Gold","TRUST CLUB エリートカード","","リボ払いでポイントが貯まり、最高3,000万円の旅行保険付帯のカードです。","0.5%～0.75%","","2025-05-02T08:01:00.695820"
"","カード名: ライフカードゴールド
                    年会費: 11,000円
                    ポイント還元率: 0.3%～0.6%
                    特徴: 補償やサービスが幅広く充実、国内・海外旅行傷害保険が最高1億円、自動付帯、旅行傷害保険の補償内容は配偶者や子供も対象、ロードサービス、弁護士無料相談サービス付帯、年間利用金額に応じてポイント還元率が最大2倍にアップ","","11,000円","Gold","ライフカードゴールド","","国内外ともに最高1億円の旅行傷害保険が自動付帯のライフカードです。","0.3%～0.6%","最大15,000円相当プレゼント","2025-05-02T08:01:00.696734"
"","カード名: ANA VISA スーパーフライヤーズゴールドカード
                    年会費: 16,500円
                    ポイント還元率: 0.5%～2.0%
                    特徴: 空の旅をゆったりと楽しめるサービスが充実、手数料無料でポイントからマイルに移行できます、フライトの度にもらえるボーナスマイル","","16,500円","Gold","ANA VISA スーパーフライヤーズゴールドカード","","専用サービスや優先サービスが利用できるANA VISA ゴールドカードです。","0.5%～2.0%","","2025-05-02T08:01:00.697640"
"","カード名: 三井住友ビジネスカード ゴールドカード
                    年会費: 11,000円
                    ポイント還元率: 0.4%～0.48%
                    特徴: 200日間と期間の長いショッピング補償付き、法人の国内航空券を予約・発券できる「ANA Biz」や「JAL ONLINE」、会員限定の宿泊プランなどがある「ビジネス用じゃらんnet」に登録できる、国内の主要空港ラウンジを無料で利用可能、傷害治療や疾病治療費用も自動付帯の海外旅行傷害保険","","11,000円","Gold","三井住友ビジネスカード ゴールドカード","","ビジネスカードにゴールドの価値をプラスした三井住友カードです。","0.4%～0.48%","最大20,000円相当プレゼント","2025-05-02T08:01:00.698320"
"","カード名: MileagePlus MUFGカード ゴールドプレステージ（Visa）
                    年会費: 16,500円
                    ポイント還元率: 1.0%～1.5%
                    特徴: 有効期限のないマイレージプラスが貯められる、最高5,000万円の旅行傷害保険が付帯、空港ラウンジを無料で利用できる","","16,500円","Gold","MileagePlus MUFGカード ゴールドプレステージ（Visa）","","有効期限のないマイレージプラスが貯まるニコス発行のゴールドカードです。","1.0%～1.5%","","2025-05-02T08:01:00.699319"
"","カード名: Orico Card THE POINT PREMIUM GOLD
                    年会費: 1,986円
                    ポイント還元率: 1.0%～2.5%
                    特徴: オリコポイントが貯まる、福利厚生サービスが利用可能、タッチ決済が搭載","","1,986円","Gold","Orico Card THE POINT PREMIUM GOLD","","お手頃な年会費で福利厚生サービス「Orico Club Off」が利用できるカードです。","1.0%～2.5%","","2025-05-02T08:01:03.645939"
"","カード名: メルカード ゴールド
                    年会費: 5,000円
                    ポイント還元率: 1.0%～4.0%
                    特徴: 条件達成で翌年度年会費無料、年間利用額に応じてボーナスポイントがもらえる、最高1,000万円の旅行傷害保険が付帯","","5,000円","Gold","メルカード ゴールド","","年間利用額に応じてボーナスポイント付与や年会費無料となるゴールドカードです。","1.0%～4.0%","","2025-05-02T08:01:03.647239"
"","カード名: Gold Time
                    年会費: 5,500円（初年度無料）
                    ポイント還元率: 1.0%～2.0%
                    特徴: 貯まったポイントは自動請求時値引き、条件達成で次年度も年会費無料になるゴールドカード、最高3,000万円の旅行傷害保険が付帯","","5,500円（初年度無料）","Gold","Gold Time","","常時ポイント2倍、全自動でポイント値引されるゴールドカードです。","1.0%～2.0%","","2025-05-02T08:01:03.648265"
"","カード名: ミライノ カード Travelers Gold
                    年会費: 11,000円
                    ポイント還元率: 0.48%～1.2%
                    特徴: ポイントが最大1.2%貯まる、住信SBIネット銀行の取引で毎月ポイントが貯まる、最高5,000万円補償の海外・国内旅行傷害保険が自動付帯","","11,000円","Gold","ミライノ カード Travelers Gold","","ポイント還元率最大1.2%、住信SBIネット銀行と提携したゴールドカードです。","0.48%～1.2%","","2025-05-02T08:01:03.649387"
"","カード名: JCBゴールド ザ・プレミア
                    年会費: 11,000円
                    ポイント還元率: 0.5%～10.0%
                    特徴: 海外1,300ヵ所以上の空港ラウンジを無料で利用できる、最高1億円の海外旅行傷害保険が付帯、厳選されたホテルや旅館でいやしの宿泊","","11,000円","Gold","JCBゴールド ザ・プレミア","","JCBゴールドからさらに充実したサービスが追加された招待制のカードです。","0.5%～10.0%","","2025-05-02T08:01:03.650391"
"","カード名: JQ CARD エポスゴールド
                    年会費: 5,000円（初年度無料）
                    ポイント還元率: 0.5%
                    特徴: JQ CARD会員限定の割引特急券が利用できる、アミュプラザ各店を優待価格で利用できる、カード利用でJRキューポが貯まる","","5,000円（初年度無料）","Gold","JQ CARD エポスゴールド","","ゴールドカードの特典とJQ CARDの特典が付帯したエポスカードです。","0.5%","","2025-05-02T08:01:03.651109"
"","カード名: MileagePlus JCBカード ゴールドカード
                    年会費: 21,450円
                    ポイント還元率: 1.5%
                    特徴: フライトやショッピングでマイルが貯まる、貯まったマイルは特典旅行に利用可能、ゴールドカードならではのサービスが付帯","","21,450円","Gold","MileagePlus JCBカード ゴールドカード","","100円につき1.5マイル加算されるJCBのゴールドカードです。","1.5%","","2025-05-02T08:01:03.651692"
"","カード名: タカシマヤカード《ゴールド》
                    年会費: 11,000円
                    ポイント還元率: 1.0%～10.0%
                    特徴: タカシマヤで買物をするとポイント還元率が最大10％にアップ、ANAグループ便の搭乗マイルが10％アップ、最高5,000万円の国内外旅行傷害保険が付帯","","11,000円","Gold","タカシマヤカード《ゴールド》","","タカシマヤで年間100万円以上利用すると還元率が最大10％になるカードです。","1.0%～10.0%","","2025-05-02T08:01:03.652237"
"","カード名: UC法人カード ゴールド
                    年会費: 11,000円
                    ポイント還元率: 0.5%～0.6%
                    特徴: ファイナンシャルプランナーや士業に初回無料で相談できる、最高5,000万円の海外・国内旅行傷害保険、ショッピング保険付帯で安心、国内線空港ラウンジを利用可能、Mastercardビジネス・アシストを利用できる","","11,000円","Gold","UC法人カード ゴールド","","空港ラウンジやゴールド限定サービスが利用できるUCのビジネスカードです。","0.5%～0.6%","","2025-05-02T08:01:03.652773"
"","カード名: UCカード ゴールド（ユーシーカード）
                    年会費: 11,000円
                    ポイント還元率: 0.5%
                    特徴: UCポイントが貯まる、補償金額は最大5,000万円。旅先での万が一をサポートする旅行傷害保険が自動付帯、ゴールドカードならではの贅沢なサービスが付帯","","11,000円","Gold","UCカード ゴールド（ユーシーカード）","","ボーナスポイントが充実したUCポイントが貯まるゴールドカードです。","0.5%","","2025-05-02T08:01:03.653329"
"","カード名: JALダイナースカード CLUB-Aゴールドカード
                    年会費: 30,800円
                    ポイント還元率: 1.0%～2.0%
                    特徴: 入会や搭乗時にボーナスマイルが加算、年会費4,950円のショッピングマイル･プレミアムが無料、トラベル時に活用できるサービスが付帯","","30,800円","Gold","JALダイナースカード CLUB-Aゴールドカード","","CLUB-Aカードにダイナースクラブカードのサービスを兼ね備えたカードです。","1.0%～2.0%","","2025-05-02T08:01:03.653864"
"","カード名: ANA To Me CARD PASMO JCB GOLD（ソラチカゴールドカード）
                    年会費: 15,400円
                    ポイント還元率: 0.5%～2.0%
                    特徴: 東京メトロの利用でメトロポイントがザクザク貯まる、メトロポイント⇒ANAマイルのレートが良い、クレジットカードの利用で貯まるOki Dokiポイントを1ポイント→10マイルに交換する手数料が無料、Oki Dokiポイントの有効期限が3年　Oki Dokiポイント→ANAマイルの交換で、マイルの有効期限を最大6年間に延長できる、JCB GOLD Service Club Offでスポーツクラブなどの優待も","","15,400円","Gold","ANA To Me CARD PASMO JCB GOLD（ソラチカゴールドカード）","","ANAカードとPASMO機能がひとつになったゴールドカードです。","0.5%～2.0%","","2025-05-02T08:01:03.654406"
"","カード名: 大丸松坂屋お得意様ゴールドカード
                    年会費: 11,000円
                    ポイント還元率: 0.9%～1.0%
                    特徴: 大丸・松坂屋での買い物が最大10％OFF、大丸・松坂屋でもそれ以外の利用でも1％のQIRAポイントを獲得可能、百貨店や提携路面店での外商員によるアテンドサービス、QIRAポイントで特別なイベントに応募できる、百貨店内のラウンジ、会員向けwebサービス「コネスリーニュ」を利用できる","","11,000円","Gold","大丸松坂屋お得意様ゴールドカード","","大丸・松坂屋のお得意様限定、プレミアムな特典が付帯したゴールドカードです。","0.9%～1.0%","","2025-05-02T08:01:03.654971"
